suspect_idx	suspect_mz	suspect_rt	scan_idx	scan_rt	matched_mz	matched_intensity	ppm_error
4	213.0557	508.4	198	515.092	212.094392970052	22994.58984375	4511.99864611751
4	213.0557	508.4	199	517.8024	212.094422434512	30264.58203125	4511.8603514871
4	213.0557	508.4	200	519.632	212.094283962943	20975.244140625	4512.51028279206
5	231.0463	521.48	196	509.6919	230.15755542654	19002.671875	3846.6081190636
5	231.0463	521.48	197	512.392	231.594294249855	4367.5478515625	2371.79409432054
5	231.0463	521.48	198	515.092	230.15752246844	19303.943359375	3846.75076623002
5	231.0463	521.48	199	517.8024	231.144508385642	5247.80859375	425.059330714524
5	231.0463	521.48	200	519.632	230.157005815491	11183.5185546875	3848.9869108857
5	231.0463	521.48	201	522.2519	230.157511292078	19478.078125	3846.79913905582
5	231.0463	521.48	202	524.9523	230.157436980657	16578.625	3847.12076905331
5	231.0463	521.48	203	527.5719	230.157523912076	18467.150390625	3846.74451797972
5	231.0463	521.48	204	529.532	230.15728391277	16658.705078125	3847.78326781257
5	231.0463	521.48	205	531.642	231.144969358207	8004.96728515625	427.054483049583
6	138.0197	166.56	57	156.642	138.054468416777	637.46875	251.909088176207
6	138.0197	166.56	58	159.612	138.328576320333	816.354614257812	2237.91473487119
6	138.0197	166.56	59	162.4924	138.411910720134	762.574768066406	2841.70100452133
6	138.0197	166.56	60	165.3021	138.160147117985	1139.13037109375	1017.58747472563
6	138.0197	166.56	61	168.1419	137.404883899587	1429.4091796875	4454.55322981539
6	138.0197	166.56	62	170.8219	138.054424104763	2089.89599609375	251.588032457675
6	138.0197	166.56	63	173.6119	137.802330651504	1753.16967773438	1574.91538161823
6	138.0197	166.56	64	176.4021	138.304320330417	2424.83837890625	2062.17177995168
7	155.9858	176.62	60	165.3021	156.137749838466	3035.94140625	974.126096516175
7	155.9858	176.62	61	168.1419	156.137710027566	2321.2900390625	973.870875210446
7	155.9858	176.62	62	170.8219	156.137581793525	2960.66552734375	973.048787293664
7	155.9858	176.62	63	173.6119	156.137914433584	5430.9404296875	975.181289476827
7	155.9858	176.62	64	176.4021	156.137592020722	5425.19873046875	973.114352213844
7	155.9858	176.62	65	179.0422	156.137706743854	7838.0009765625	973.849823855938
7	155.9858	176.62	66	181.8221	156.137732796056	19534.64453125	974.016840351061
7	155.9858	176.62	67	184.3823	156.133321744246	3051.216796875	945.738293142278
7	155.9858	176.62	68	186.5921	156.137750960985	13182	974.13329280289
8	395.1646	598.96	228	588.6425	396.772980559476	3315.40478515625	4070.1534486541
8	395.1646	598.96	229	591.372	395.994884048344	2543.25268554688	2101.1093816205
8	395.1646	598.96	230	594.0119	395.045903338485	2443.26904296875	300.372709284402
8	395.1646	598.96	231	596.6624	395.045771925627	3693.07666015625	300.705261485036
8	395.1646	598.96	232	599.3419	395.046587967414	4323.142578125	298.640193442205
8	395.1646	598.96	233	602.0019	395.046797778466	5110.0732421875	298.109247472411
8	395.1646	598.96	234	604.6824	395.044484034158	5228.9990234375	303.964388110506
8	395.1646	598.96	235	607.3519	395.04521464068	3628.8837890625	302.115521784971
8	395.1646	598.96	236	610.1124	395.04770099158	3005.0537109375	295.823584449712
9	239.0496	312.55	115	301.5226	239.105638892909	3627.06396484375	234.423704993262
